"Are you sure you want to do this?","Bist du sicher, dass du das tun möchtest?"
"Are you sure?","Bist du sicher?"
"Be the first to review this product","Schreibe die erste Kundenmeinung"
"How do you rate this product?","Wie bewertest du diesen Artikel?"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Nur registrierte Kunden können Bewertungen abgeben. Bitte <a href=""%s"">melde dich an</a> oder <a href=""%s"">registriere dich</a>"
"Please select one of each of the ratings above","Bitte wähle eine der obenstehenden Bewertungen"
"Summary of Your Review","Zusammenfassung deiner Kundenmeinung"
"Write Your Own Review","Schreibe deine eigene Kundenmeinung"
"You have submitted no reviews.","Du hast noch keine Kundenmeinungen abgegeben."
"You're reviewing:","Du bewertest den Artikel:"
"Your Rating:","Deine Bewertung:"
"Your Review (submitted on %s):","Deine Kundenmeinung (vom %s):"
"Your review has been accepted for moderation.","Deine Kundenmeinung wurde zur Prüfung angenommen"
