"^Drücken Sie",Drücke
"klicken oder ziehen Sie","klicke oder ziehe"
"^Sie müssen","Du musst"
"Sie diesen Wert ändern","du diesen Wert änderst"
"Klicken Sie",Klicke
"Halten Sie",Halte
"Verwenden Sie",Verwende
"wählen Sie",wähle
"klicken Sie",klicke
"überprüfen Sie die Log-Aufzeichnungen und versuchen","überprüfe die Log-Aufzeichungen und versuche"
"überprüfen Sie die Log-Aufzeichnung und versuchen","überprüfe die Log-Aufzeichung und versuche"
"aktualisieren Sie",aktualisiere
"Sind Sie sicher, dass Sie diese Vorlage löschen möchten","Bist du sicher, dass du diese Vorlage löschen möchtest"
"Sind Sie sicher, dass Sie die Schlagworte entfernen möchten","Bist du sicher, dass du die Schlagworte entfernen möchtest"
"Sind Sie sicher, dass Sie das tun möchten","Bist du sicher, dass du das tun möchtest"
"Sind Sie sicher, dass Sie fortfahren möchten","Bist du sicher, dass du fortfahren möchtest"
"([a-z]) Sie es aktivieren wollen","$1 du es aktivieren willst"
"erfahren Sie","erfährst du"
"Möchten Sie","Möchtest du"
"erhalten Sie","erhältst du"
"geben Sie",gib
"([a-z]) Ihren","$1 deinen"
"Helfen Sie",Hilf
"Melden Sie",Melde
"mit dem Sie Ihr Passwort zurücksetzen können","mit dem du dein Passwort zurücksetzen kannst"
"kontaktieren Sie",kontaktiere
"([a-z]) Ihrer","$1 deiner"
"prüfen Sie",prüfe
"verwenden Sie",verwende
"([a-z]) Ihrem","$1 deinem"
"melden Sie sich","melde dich"
"Stellen Sie sicher","Stelle sicher"
"Nachdem Sie sich an deinem PayPal Advanced Account angemeldet haben","Nachdem du dich an deinem PayPal Advanced Account angemeldet hast"
"gehen Sie",gehe
"stellen Sie",stelle
"Nachdem Sie sich an deinem PayPal Payflow Link Account angemeldet haben","Nachdem du dich an deinem PayPal Payflow Link Account angemeldet hast"
"Sie finden","Du findest"
"bestätigen Sie",bestätige
"dass Sie die Seite wechseln möchten","dass du die Seite wechseln möchtest"
"Ihre Bestellung","deine Bestellung"
"([a-z]) Ihr Passwort","$1 dein Passwort"
"dass Ihre Änderungen","dass deine Änderungen"
"bevor Sie das Profil ausführen","bevor du das Profil ausführst"
"Bitte versuchen Sie sich ab- und wieder anzumelden","Bitte versuche dich ab- und wieder anzumelden"
"tragen Sie",trage
"Vermeiden Sie",Vermeide
"fügen Sie",füge
"^Sie können","Du kannst"
"welches Sie zu speichern versuchen","welches du zu speichern versuchst"
"müssen Sie","musst du"
"Sind Sie sicher\?","Bist du sicher?"
"schließen Sie",schließe
"nehmen Sie",nimm
"für Ihre Geduld","für deine Geduld"
"Ihr eigenes","dein eigenes"
"^Sie haben","Du hast"
"^Sie besitzen","Du besitzt"
"Ihre Antworten","Deine Antworten"
"Ihre PHP-Einstellungen","Deine PHP-Einstellungen"
"ändern Sie",ändere
"wenn Sie größere Dateien hochladen möchten","wenn du größere Dateien hochladen möchtest"
"Ihr Webserver","Dein Webserver"
"\(Sie müssen","(Du musst"
"\. Sie können",". Du kannst"
"in <a href=""%s"">Ihrem Posteingang</a>","in <a href=""%s"">deinem Posteingang</a>"
"^Ihr Passwort","Dein Passwort"
"^Ihr Benutzerkonto","Dein Benutzerkonto"
"vermeiden Sie",vermeide
"Kontaktieren Sie",Kontaktiere
"probieren Sie",probiere
"Bevor Sie eine Bestellung aufgeben können","Bevor du eine Bestellung aufgeben kannst"
"([a-z]) Ihre","$1 deine"
"dass Sie die ausgewählten Sicherungen löschen möchten","dass du die ausgewählten Sicherungen löschen möchtest"
"passen Sie",passe
"versuchen Sie",versuche
"treffen Sie",triff
"bestimmen Sie",bestimme
"legen Sie",lege
"deaktivieren Sie",deaktiviere
"dass Sie diese Attributset löschen möchten","dass du diese Attributset löschen möchtest"
"dass Sie diese Kategorie wirklich löschen wollen","dass du diese Kategorie wirklich löschen willst"
"dass Sie alle Artikel von der Vergleichsliste entfernen wollen","dass du alle Artikel von der Vergleichsliste entfernen willst"
"dass Sie dieses Artikel von der Vergleichsliste entfernen wollen","dass du diesen Artikel von der Vergleichsliste entfernen willst"
"dass Sie diesen Artikel von der Vergleichsliste entfernen wollen","dass du diesen Artikel von der Vergleichsliste entfernen willst"
"Kaufen Sie",Kaufe
"Wählen Sie",Wähle
"löschen Sie",lösche
"setzen Sie",setze
"Sie keinen Options-Wert für eine spezielle StoreView angeben","du keinen Options-Wert für eine spezielle StoreView angibst"
"Achten Sie",Achte
"SPAREN Sie",SPARE
"achten Sie",achte
"füllen Sie",fülle
"bevor Sie weitere Aktionen an diesen Artikeln ausführen","bevor du weitere Aktionen an diesen Artikeln ausführst"
"bearbeiten Sie",bearbeite
"konfigurieren Sie",konfiguriere
"reduzieren Sie",reduziere
"wenn Sie dieses Modul einsetzen wollen","wenn du dieses Modul einsetzen willst"
"die Sie hochladen wollen","die du hochladen willst"
"verschieben Sie",verschiebe
"^Sie könnten","Du könntest"
"Bitte sehen Sie in die Log-Aufzeichnung und probieren","Bitte sieh in die Log-Aufzeichnung und probiere"
"wonach Sie gesucht haben","wonach du gesucht hast"
"Geben Sie",Gib
"\. Ihre",". Deine"
"Ändern Sie",Ändere
"verfeinern Sie",verfeinere
^Ihre,Deine
"fahren Sie",fahre
"indem Sie die Bestellung aufgeben","indem du die Bestellung aufgibst"
"lassen Sie",lasse
"bevor Sie die Bestellung aufgeben","bevor du die Bestellung aufgibst"
"könnten Sie","könntest du"
"möchten Sie","möchtest du"
"Sie einen Rabattcode besitzen","du einen Rabattcode besitzt"
"registrieren Sie sich","registriere dich"
"akzeptieren Sie",akzeptiere
"bevor Sie deine","bevor du deine"
"Registrieren Sie sich","Registriere dich"
"um Ihr Benutzerkonto","um dein Benutzerkonto"
"Entschuldigen Sie",Entschuldige
"\. Sie werden",". Du wirst"
"^Sie erhalten","Du erhältst"
"^Ihr Bestellfortschritt","Dein Bestellfortschritt"
"dass Sie das ausgewählten Verzeichnis löschen möchten","dass du das ausgewählten Verzeichnis löschen möchtest"
"dass Sie die ausgewählte Datei löschen möchten","dass du die ausgewählte Datei löschen möchtest"
"Wenn Sie den StoreCode in URLs verwenden","Wenn du den StoreCode in URLs verwendest"
"Nachdem Sie einen neuen Speicherort für die Medienspeicherung festgelegt haben","Nachdem du einen neuen Speicherort für die Medienspeicherung festgelegt hast"
"wenn Sie zwischen den Stores wechseln","wenn du zwischen den Stores wechselst"
"schauen Sie",schaue
"Bevor Sie den StoreView-Code verändern","Bevor du den StoreView-Code veränderst"
"Bevor Sie den Website-Code verändern","Bevor du den Website-Code veränderst"
"bevor Sie %1$s löschen","bevor du %1$s löschst"
"bevor Sie %1\$s löschen","bevor du %1\$s löschst"
"bevor Sie die Prüfung durchführen","bevor du die Prüfung durchführst"
"Versuchen Sie",Versuche
"Nachdem Sie den neuen Admin-Pfad gespeichert haben","Nachdem du den neuen Admin-Pfad gespeichert hast"
"Sind Sie sicher","Bist du sicher"
